Datasets,Objective,Time,Termination
pglib_opf_case10000_goc__sad.m,2699.157130123635,0.2099921703338623,LOCALLY_SOLVED
pglib_opf_case10192_epigrids__sad.m,1473.5008178932649,0.21862506866455078,LOCALLY_SOLVED
pglib_opf_case10480_goc__sad.m,1926.5412899611188,0.20937895774841309,LOCALLY_SOLVED
pglib_opf_case118_ieee__sad.m,144.69000149472086,0.026732206344604492,LOCALLY_SOLVED
pglib_opf_case1354_pegase__sad.m,3856.5368382727306,0.04592108726501465,LOCALLY_SOLVED
pglib_opf_case13659_pegase__sad.m,19768.800198104862,0.27309608459472656,LOCALLY_SOLVED
pglib_opf_case14_ieee__sad.m,5.270000076344261,0.01969003677368164,LOCALLY_SOLVED
pglib_opf_case162_ieee_dtc__sad.m,151.50200147012623,0.024721145629882812,LOCALLY_SOLVED
pglib_opf_case179_goc__sad.m,1778.7240176418795,0.021029949188232422,LOCALLY_SOLVED
pglib_opf_case1803_snem__sad.m,761.7000077591022,0.051651954650878906,LOCALLY_SOLVED
pglib_opf_case1888_rte__sad.m,1322.6215140906506,0.05616307258605957,LOCALLY_SOLVED
pglib_opf_case19402_goc__sad.m,2513.8879587488887,0.35989809036254883,LOCALLY_SOLVED
pglib_opf_case1951_rte__sad.m,1447.7232168282185,0.05650210380554199,LOCALLY_SOLVED
pglib_opf_case197_snem__sad.m,52.70000066412151,0.023977994918823242,LOCALLY_SOLVED
pglib_opf_case2000_goc__sad.m,662.6234968135075,0.05541396141052246,LOCALLY_SOLVED
pglib_opf_case200_activ__sad.m,42.39150067396083,0.02579522132873535,LOCALLY_SOLVED
pglib_opf_case20758_epigrids__sad.m,2944.8095366877733,0.4159870147705078,LOCALLY_SOLVED
pglib_opf_case2312_goc__sad.m,944.2082192976311,0.05694890022277832,LOCALLY_SOLVED
pglib_opf_case2383wp_k__sad.m,492.5809147263756,0.07091093063354492,LOCALLY_SOLVED
pglib_opf_case240_pserc__sad.m,3101.3120306032556,0.024194955825805664,LOCALLY_SOLVED
pglib_opf_case24464_goc__sad.m,3893.1969929433635,0.4583549499511719,LOCALLY_SOLVED
pglib_opf_case24_ieee_rts__sad.m,51.81000065703298,0.05428004264831543,LOCALLY_SOLVED
pglib_opf_case2736sp_k__sad.m,316.96687345173524,0.059854984283447266,LOCALLY_SOLVED
pglib_opf_case2737sop_k__sad.m,231.28456247381166,0.05858206748962402,LOCALLY_SOLVED
pglib_opf_case2742_goc__sad.m,439.3369851071472,0.07496285438537598,LOCALLY_SOLVED
pglib_opf_case2746wop_k__sad.m,367.00780495497185,0.06002092361450195,LOCALLY_SOLVED
pglib_opf_case2746wp_k__sad.m,422.7926348849637,0.0627598762512207,LOCALLY_SOLVED
pglib_opf_case2848_rte__sad.m,1336.549316601738,0.0713510513305664,LOCALLY_SOLVED
pglib_opf_case2853_sdet__sad.m,3211.5088313148667,0.07357096672058105,LOCALLY_SOLVED
pglib_opf_case2868_rte__sad.m,1488.252518259519,0.0725090503692627,LOCALLY_SOLVED
pglib_opf_case2869_pegase__sad.m,7293.214472530665,0.07178092002868652,LOCALLY_SOLVED
pglib_opf_case30000_goc__sad.m,3028.039878097469,0.4837508201599121,LOCALLY_SOLVED
pglib_opf_case300_ieee__sad.m,487.6418047240222,0.02651190757751465,LOCALLY_SOLVED
pglib_opf_case3012wp_k__sad.m,477.79530755697516,0.068328857421875,LOCALLY_SOLVED
pglib_opf_case3022_goc__sad.m,3070.031990251285,0.0683891773223877,LOCALLY_SOLVED
pglib_opf_case30_as__sad.m,10.350000114828457,0.023622989654541016,LOCALLY_SOLVED
pglib_opf_case30_ieee__sad.m,5.470000076931302,0.02377486228942871,LOCALLY_SOLVED
pglib_opf_case3120sp_k__sad.m,393.6601049337084,0.06689000129699707,LOCALLY_SOLVED
pglib_opf_case3375wp_k__sad.m,1045.532012200295,0.07345700263977051,LOCALLY_SOLVED
pglib_opf_case3970_goc__sad.m,642.303009277685,0.09115386009216309,LOCALLY_SOLVED
pglib_opf_case39_epri__sad.m,101.74000096725858,0.024212121963500977,LOCALLY_SOLVED
pglib_opf_case3_lmbd__sad.m,70.0000006874691,0.016458988189697266,LOCALLY_SOLVED
