Datasets,Objective,Time,Termination
pglib_opf_case10000_goc__sad.m,1.3189976004100954e6,0.2684018611907959,LOCALLY_SOLVED
pglib_opf_case10192_epigrids__sad.m,1.6483995534135813e6,0.3590109348297119,LOCALLY_SOLVED
pglib_opf_case10480_goc__sad.m,2.2085434513113946e6,0.3965919017791748,LOCALLY_SOLVED
pglib_opf_case118_ieee__sad.m,93026.72815543096,0.023334980010986328,LOCALLY_SOLVED
pglib_opf_case1354_pegase__sad.m,1.1735905979225384e6,0.0582270622253418,LOCALLY_SOLVED
pglib_opf_case13659_pegase__sad.m,8.729312990735788e6,0.5172061920166016,LOCALLY_SOLVED
pglib_opf_case14_ieee__sad.m,2051.526273252922,0.02322101593017578,LOCALLY_SOLVED
pglib_opf_case162_ieee_dtc__sad.m,79147.68736820931,0.023733854293823242,LOCALLY_SOLVED
pglib_opf_case179_goc__sad.m,746676.996049719,0.022337913513183594,LOCALLY_SOLVED
pglib_opf_case1803_snem__sad.m,61740.184203834324,0.07227778434753418,LOCALLY_SOLVED
pglib_opf_case1888_rte__sad.m,1.2451500505649804e6,0.07010507583618164,LOCALLY_SOLVED
pglib_opf_case19402_goc__sad.m,1.8914569413238869e6,0.972754955291748,LOCALLY_SOLVED
pglib_opf_case1951_rte__sad.m,2.012799038663146e6,0.07696700096130371,LOCALLY_SOLVED
pglib_opf_case197_snem__sad.m,1.4740576838317663,0.027045011520385742,LOCALLY_SOLVED
pglib_opf_case2000_goc__sad.m,942434.8116698854,0.0901179313659668,LOCALLY_SOLVED
pglib_opf_case200_activ__sad.m,27479.642791873044,0.021888017654418945,LOCALLY_SOLVED
pglib_opf_case20758_epigrids__sad.m,2.567930889980995e6,0.8818631172180176,LOCALLY_SOLVED
pglib_opf_case2312_goc__sad.m,429745.27235719375,0.06954693794250488,LOCALLY_SOLVED
pglib_opf_case2383wp_k__sad.m,1.768478334922191e6,0.1014249324798584,LOCALLY_SOLVED
pglib_opf_case240_pserc__sad.m,3.1275814467638126e6,0.031881093978881836,LOCALLY_SOLVED
pglib_opf_case24464_goc__sad.m,2.440461123497226e6,1.1606299877166748,LOCALLY_SOLVED
pglib_opf_case24_ieee_rts__sad.m,61001.237421661266,0.023241043090820312,LOCALLY_SOLVED
pglib_opf_case2736sp_k__sad.m,1.2760336516448774e6,0.08548092842102051,LOCALLY_SOLVED
pglib_opf_case2737sop_k__sad.m,764009.7492705379,0.06791901588439941,LOCALLY_SOLVED
pglib_opf_case2742_goc__sad.m,259696.42538028912,0.10597801208496094,LOCALLY_SOLVED
pglib_opf_case2746wop_k__sad.m,1.1783636941671986e6,0.07037782669067383,LOCALLY_SOLVED
pglib_opf_case2746wp_k__sad.m,1.5814250198197213e6,0.09303879737854004,LOCALLY_SOLVED
pglib_opf_case2848_rte__sad.m,1.1996599098724457e6,0.12023305892944336,LOCALLY_SOLVED
pglib_opf_case2853_sdet__sad.m,1.965024115744535e6,0.09581613540649414,LOCALLY_SOLVED
pglib_opf_case2868_rte__sad.m,1.9466984021156244e6,0.09419083595275879,LOCALLY_SOLVED
pglib_opf_case2869_pegase__sad.m,2.3386622628221624e6,0.10114192962646484,LOCALLY_SOLVED
pglib_opf_case30000_goc__sad.m,986343.1517693771,0.9537551403045654,LOCALLY_SOLVED
pglib_opf_case300_ieee__sad.m,481045.43177168694,0.02909684181213379,LOCALLY_SOLVED
pglib_opf_case3012wp_k__sad.m,2.4923042356352084e6,0.10702800750732422,LOCALLY_SOLVED
pglib_opf_case3022_goc__sad.m,575545.6393188211,0.0953829288482666,LOCALLY_SOLVED
pglib_opf_case30_as__sad.m,767.6020898336305,0.020431041717529297,LOCALLY_SOLVED
pglib_opf_case30_ieee__sad.m,5639.293798485451,0.023524045944213867,LOCALLY_SOLVED
pglib_opf_case3120sp_k__sad.m,2.0768161552669925e6,0.09160995483398438,LOCALLY_SOLVED
pglib_opf_case3375wp_k__sad.m,7.287626155214974e6,0.10753607749938965,LOCALLY_SOLVED
pglib_opf_case3970_goc__sad.m,934215.5234525036,0.1760420799255371,LOCALLY_SOLVED
pglib_opf_case39_epri__sad.m,132279.50836517822,0.021902799606323242,LOCALLY_SOLVED
pglib_opf_case3_lmbd__sad.m,5638.96784457856,0.019488096237182617,LOCALLY_SOLVED
pglib_opf_case4020_goc__sad.m,793634.0908313139,0.1507859230041504,LOCALLY_SOLVED
pglib_opf_case4601_goc__sad.m,793813.7324196153,0.19899296760559082,LOCALLY_SOLVED
pglib_opf_case4619_goc__sad.m,457436.3201861514,0.17598199844360352,LOCALLY_SOLVED
pglib_opf_case4661_sdet__sad.m,2.117037496949676e6,0.13411402702331543,LOCALLY_SOLVED
pglib_opf_case4837_goc__sad.m,847177.9846549293,0.17727112770080566,LOCALLY_SOLVED
pglib_opf_case4917_goc__sad.m,1.3403856318186214e6,0.18033790588378906,LOCALLY_SOLVED
pglib_opf_case500_goc__sad.m,439882.4658922475,0.037285804748535156,LOCALLY_SOLVED
pglib_opf_case5658_epigrids__sad.m,1.1954660998820544e6,0.16992402076721191,LOCALLY_SOLVED
pglib_opf_case57_ieee__sad.m,34772.947470806845,0.023962020874023438,LOCALLY_SOLVED
pglib_opf_case588_sdet__sad.m,298183.3872155449,0.035651206970214844,LOCALLY_SOLVED
pglib_opf_case5_pjm__sad.m,14809.99952900863,0.022542953491210938,LOCALLY_SOLVED
pglib_opf_case60_c__sad.m,90699.99897675202,0.024274110794067383,LOCALLY_SOLVED
pglib_opf_case6468_rte__sad.m,1.9775543281781243e6,0.22747492790222168,LOCALLY_SOLVED
