Datasets,Objective,Time,Termination
pglib_opf_case10000_goc__sad.m,2695.250411235605,2.9937329292297363,LOCALLY_SOLVED
pglib_opf_case10192_epigrids__sad.m,1378.5958164320418,2.9439620971679688,LOCALLY_SOLVED
pglib_opf_case10480_goc__sad.m,1925.0052893837048,3.1973490715026855,LOCALLY_SOLVED
pglib_opf_case118_ieee__sad.m,135.88406927933738,0.045044898986816406,LOCALLY_SOLVED
pglib_opf_case1354_pegase__sad.m,2056.0632608097962,0.3333098888397217,LOCALLY_SOLVED
pglib_opf_case13659_pegase__sad.m,15284.51383050155,8.461037874221802,LOCALLY_SOLVED
pglib_opf_case14_ieee__sad.m,5.270000074722484,0.024494171142578125,LOCALLY_SOLVED
pglib_opf_case162_ieee_dtc__sad.m,117.45456635546466,0.06957197189331055,LOCALLY_SOLVED
pglib_opf_case179_goc__sad.m,1489.6174143890717,0.05866384506225586,LOCALLY_SOLVED
pglib_opf_case1803_snem__sad.m,760.5848402176096,0.43680405616760254,LOCALLY_SOLVED
pglib_opf_case1888_rte__sad.m,508.043569956511,1.045130968093872,LOCALLY_INFEASIBLE
pglib_opf_case19402_goc__sad.m,2512.9714570737606,6.840029001235962,LOCALLY_SOLVED
pglib_opf_case1951_rte__sad.m,756.5421113941248,1.099484920501709,LOCALLY_INFEASIBLE
pglib_opf_case197_snem__sad.m,52.45395661756785,0.06132102012634277,LOCALLY_SOLVED
pglib_opf_case2000_goc__sad.m,662.62349678661,0.559938907623291,LOCALLY_SOLVED
pglib_opf_case200_activ__sad.m,39.06027600720677,0.05493021011352539,LOCALLY_SOLVED
pglib_opf_case20758_epigrids__sad.m,2931.90079020928,6.902288913726807,LOCALLY_SOLVED
pglib_opf_case2312_goc__sad.m,858.9419779185306,0.6247420310974121,LOCALLY_SOLVED
pglib_opf_case2383wp_k__sad.m,482.3709146117148,0.49814891815185547,LOCALLY_SOLVED
pglib_opf_case240_pserc__sad.m,3101.312030612363,0.09331297874450684,LOCALLY_SOLVED
pglib_opf_case24464_goc__sad.m,3892.9459392666645,7.27928900718689,LOCALLY_SOLVED
pglib_opf_case24_ieee_rts__sad.m,51.81000064849968,0.027187824249267578,LOCALLY_SOLVED
pglib_opf_case2736sp_k__sad.m,316.9668734960056,0.5029959678649902,LOCALLY_SOLVED
pglib_opf_case2737sop_k__sad.m,231.28456253119572,0.47731995582580566,LOCALLY_SOLVED
pglib_opf_case2742_goc__sad.m,439.33698503567933,0.6102249622344971,LOCALLY_SOLVED
pglib_opf_case2746wop_k__sad.m,367.00780430028004,0.5121839046478271,LOCALLY_SOLVED
pglib_opf_case2746wp_k__sad.m,422.7926348849639,0.5057199001312256,LOCALLY_SOLVED
pglib_opf_case2848_rte__sad.m,1166.174549911194,0.7819390296936035,LOCALLY_SOLVED
pglib_opf_case2853_sdet__sad.m,2386.3466850621194,0.7405149936676025,LOCALLY_SOLVED
pglib_opf_case2868_rte__sad.m,1446.4228583231313,0.885206937789917,LOCALLY_SOLVED
pglib_opf_case2869_pegase__sad.m,3599.3335344605343,0.8597269058227539,LOCALLY_SOLVED
pglib_opf_case30000_goc__sad.m,3028.0398895571593,7.73024320602417,LOCALLY_SOLVED
pglib_opf_case300_ieee__sad.m,463.6727554738594,0.08088111877441406,LOCALLY_SOLVED
pglib_opf_case3012wp_k__sad.m,476.0266360673694,0.6222600936889648,LOCALLY_SOLVED
pglib_opf_case3022_goc__sad.m,2016.3602521303087,0.7281670570373535,LOCALLY_SOLVED
pglib_opf_case30_as__sad.m,10.2451208728144,0.026314973831176758,LOCALLY_SOLVED
pglib_opf_case30_ieee__sad.m,5.289924965526554,0.02474188804626465,LOCALLY_SOLVED
pglib_opf_case3120sp_k__sad.m,391.6964014612094,0.7009449005126953,LOCALLY_SOLVED
pglib_opf_case3375wp_k__sad.m,1041.293771446735,0.7135570049285889,LOCALLY_SOLVED
