Datasets,Objective,Time,Termination
pglib_opf_case10000_goc.m,1854.5866183079452,7.567422866821289,LOCALLY_SOLVED
pglib_opf_case10192_epigrids.m,1373.6982659111777,11.229683876037598,LOCALLY_SOLVED
pglib_opf_case10480_goc.m,1923.9680538587297,10.098148107528687,LOCALLY_SOLVED
pglib_opf_case118_ieee.m,129.1222331653128,0.07501411437988281,LOCALLY_SOLVED
pglib_opf_case1354_pegase.m,1720.4881659374637,0.8947019577026367,LOCALLY_SOLVED
pglib_opf_case13659_pegase.m,10542.6573192926,37.85602688789368,LOCALLY_SOLVED
pglib_opf_case14_ieee.m,4.293392215312092,0.023868083953857422,LOCALLY_SOLVED
pglib_opf_case162_ieee_dtc.m,114.07065991219645,0.11478781700134277,LOCALLY_SOLVED
pglib_opf_case179_goc.m,759.9086869441921,0.1117711067199707,LOCALLY_SOLVED
pglib_opf_case1803_snem.m,619.1104962999584,0.996265172958374,LOCALLY_SOLVED
pglib_opf_case1888_rte.m,1116.7013950784901,0.7875120639801025,LOCALLY_SOLVED
pglib_opf_case19402_goc.m,2512.8796339672213,45.308614015579224,LOCALLY_SOLVED
pglib_opf_case1951_rte.m,1424.8349592514614,0.9881949424743652,LOCALLY_SOLVED
pglib_opf_case197_snem.m,43.75958520441576,0.0931558609008789,LOCALLY_SOLVED
pglib_opf_case2000_goc.m,614.0367698830255,1.4189729690551758,LOCALLY_SOLVED
pglib_opf_case200_activ.m,29.250062290771798,0.0896761417388916,LOCALLY_SOLVED
pglib_opf_case20758_epigrids.m,2839.452323016864,23.43241596221924,LOCALLY_SOLVED
pglib_opf_case2312_goc.m,725.5386342212292,1.310107946395874,LOCALLY_SOLVED
pglib_opf_case2383wp_k.m,481.74260530826865,1.8235249519348145,LOCALLY_SOLVED
pglib_opf_case240_pserc.m,2616.898265966176,0.230194091796875,LOCALLY_SOLVED
pglib_opf_case24464_goc.m,3890.305528542546,40.62291598320007,LOCALLY_SOLVED
pglib_opf_case24_ieee_rts.m,48.856260042086085,0.03175687789916992,LOCALLY_SOLVED
pglib_opf_case2736sp_k.m,316.9668734960055,1.0318541526794434,LOCALLY_SOLVED
pglib_opf_case2737sop_k.m,231.28456253119566,1.06455397605896,LOCALLY_SOLVED
pglib_opf_case2742_goc.m,439.3369851413302,1.4061951637268066,LOCALLY_SOLVED
pglib_opf_case2746wop_k.m,367.0078043002765,1.1781730651855469,LOCALLY_SOLVED
pglib_opf_case2746wp_k.m,422.7926348849638,1.0809268951416016,LOCALLY_SOLVED
pglib_opf_case2848_rte.m,1112.2913532591756,1.206408977508545,LOCALLY_SOLVED
pglib_opf_case2853_sdet.m,1963.3236202162063,1.8479790687561035,LOCALLY_SOLVED
pglib_opf_case2868_rte.m,1443.4823208731605,1.3373920917510986,LOCALLY_SOLVED
pglib_opf_case2869_pegase.m,3006.824229575816,2.3365910053253174,LOCALLY_SOLVED
pglib_opf_case30000_goc.m,2425.73271481522,35.85835385322571,LOCALLY_SOLVED
pglib_opf_case300_ieee.m,371.35172053612007,0.15451693534851074,LOCALLY_SOLVED
pglib_opf_case3012wp_k.m,477.79530653022516,1.204512119293213,LOCALLY_SOLVED
pglib_opf_case3022_goc.m,1397.4639664006882,1.8764610290527344,LOCALLY_SOLVED
pglib_opf_case30_as.m,9.439302880730192,0.030520915985107422,LOCALLY_SOLVED
pglib_opf_case30_ieee.m,5.165837834929093,0.027158021926879883,LOCALLY_SOLVED
pglib_opf_case3120sp_k.m,393.37541055305104,1.3941528797149658,LOCALLY_SOLVED
pglib_opf_case3375wp_k.m,953.698262045724,2.8031041622161865,LOCALLY_SOLVED
pglib_opf_case3970_goc.m,487.907186550954,2.022552013397217,LOCALLY_SOLVED
pglib_opf_case39_epri.m,97.552080727214,0.031562089920043945,LOCALLY_SOLVED
pglib_opf_case3_lmbd.m,4.316521191991215,0.023446083068847656,LOCALLY_SOLVED
pglib_opf_case4020_goc.m,665.1390281911582,2.513530969619751,LOCALLY_SOLVED
pglib_opf_case4601_goc.m,544.7002413433056,2.671463966369629,LOCALLY_SOLVED
pglib_opf_case4619_goc.m,587.9415776002966,2.7407548427581787,LOCALLY_SOLVED
pglib_opf_case4661_sdet.m,2197.7378078570246,3.5843069553375244,LOCALLY_SOLVED
pglib_opf_case4837_goc.m,915.1946678846032,6.328939914703369,LOCALLY_SOLVED
pglib_opf_case4917_goc.m,2272.4005429055205,3.465198040008545,LOCALLY_SOLVED
pglib_opf_case500_goc.m,306.35848439548465,0.26175594329833984,LOCALLY_SOLVED
pglib_opf_case5658_epigrids.m,964.1874279595148,6.614593029022217,LOCALLY_SOLVED
pglib_opf_case57_ieee.m,20.187577812537135,0.040129899978637695,LOCALLY_SOLVED
pglib_opf_case588_sdet.m,278.0946884382594,0.2709369659423828,LOCALLY_SOLVED
pglib_opf_case5_pjm.m,22.303018878788695,0.025470972061157227,LOCALLY_SOLVED
pglib_opf_case60_c.m,253.43691363058105,0.04552912712097168,LOCALLY_SOLVED
pglib_opf_case6468_rte.m,1522.1736400319924,3.8769960403442383,LOCALLY_SOLVED
pglib_opf_case6470_rte.m,1707.0766431687737,5.007840871810913,LOCALLY_SOLVED
pglib_opf_case6495_rte.m,1821.8716762594058,7.383907079696655,LOCALLY_SOLVED
pglib_opf_case6515_rte.m,1826.335503985954,4.724271059036255,LOCALLY_SOLVED
pglib_opf_case7336_epigrids.m,1478.3273675459357,6.071865081787109,LOCALLY_SOLVED
pglib_opf_case73_ieee_rts.m,146.88203427390619,0.05072307586669922,LOCALLY_SOLVED
pglib_opf_case78484_epigrids.m,11523.214569296391,166.6210060119629,LOCALLY_SOLVED
pglib_opf_case793_goc.m,299.5042184222589,0.34705495834350586,LOCALLY_SOLVED
pglib_opf_case8387_pegase.m,16441.22286088018,9.311340093612671,LOCALLY_SOLVED
pglib_opf_case89_pegase.m,109.01900218369758,0.09403395652770996,LOCALLY_SOLVED
pglib_opf_case9241_pegase.m,7092.4295878478015,13.74800992012024,LOCALLY_SOLVED
